SUMLEV,CBSA,MDIV,NAME,LSAD,YEAR,POPESTIMATE,UNDER5_TOT,AGE513_TOT,AGE1417_TOT,AGE1824_TOT,AGE2544_TOT,AGE4564_TOT,AGE65PLUS_TOT
314,31080,11244,"Anaheim-Santa Ana-Irvine, CA",Metropolitan Division,2,3185734,178541,348160,166143,288455,869186,851271,483978
314,31080,31084,"Los Angeles-Long Beach-Glendale, CA",Metropolitan Division,2,9992813,547004,1084187,491903,902050,2996757,2555012,1415900
314,33100,22744,"Fort Lauderdale-Pompano Beach-Sunrise, FL",Metropolitan Division,2,1943398,108716,207044,94578,146752,518650,534568,333090
314,33100,33124,"Miami-Miami Beach-Kendall, FL",Metropolitan Division,2,2695685,151590,272674,125207,219123,740021,741714,445356
314,33100,48424,"West Palm Beach-Boca Raton-Delray Beach, FL",Metropolitan Division,2,1494282,74530,143102,67328,109728,348496,389615,361483
314,35620,29484,"Lakewood-New Brunswick, NJ",Metropolitan Division,2,2487463,143894,281095,134568,206559,594626,683141,443580
314,35620,35004,"Nassau County-Suffolk County, NY",Metropolitan Division,2,2912555,157117,314212,155103,250171,698387,832299,505266
314,35620,35084,"Newark, NJ",Metropolitan Division,2,2214774,128995,253523,119155,187832,569656,617526,338087
314,35620,35614,"New York-Jersey City-White Plains, NY-NJ",Metropolitan Division,2,12375755,756330,1305052,568017,1001429,3728064,3111914,1904949
314,37980,15804,"Camden, NJ",Metropolitan Division,2,1287367,69921,142900,68489,107177,332385,354426,212069
314,37980,33874,"Montgomery County-Bucks County-Chester County, PA",Metropolitan Division,2,2038001,105932,223796,109656,164282,496259,570505,367571
314,37980,37964,"Philadelphia, PA",Metropolitan Division,2,2177040,133796,241035,101243,205990,663497,512926,318553
314,37980,48864,"Wilmington, DE-MD-NJ",Metropolitan Division,2,739559,41133,81559,37994,64570,195032,198453,120818
314,41860,36084,"Oakland-Fremont-Berkeley, CA",Metropolitan Division,2,2846535,156096,307565,140881,227915,842314,743760,428004
314,41860,41884,"San Francisco-San Mateo-Redwood City, CA",Metropolitan Division,2,1632997,78980,134487,59497,111014,563804,419298,265917
314,41860,42034,"San Rafael, CA",Metropolitan Division,2,261306,11754,26897,14081,17541,53261,78941,58831
314,42660,21794,"Everett, WA",Metropolitan Division,2,829933,51285,95272,41769,61039,246275,218793,115500
314,42660,42644,"Seattle-Bellevue-Kent, WA",Metropolitan Division,2,2274282,124872,232447,99453,183651,772837,559058,301964
314,42660,45104,"Tacoma-Lakewood, WA",Metropolitan Division,2,923589,58593,111275,46662,82436,271798,223731,129094
